"species","cluster"
"Lethrinus harak",7
"Lutjanus adetii",7
"Lutjanus analis",7
"Lutjanus argentimaculatus",7
"Lutjanus fulviflamma",7
"Lutjanus fulvus",7
"Lutjanus griseus",7
"Lutjanus johnii",7
"Lutjanus kasmira",7
"Lutjanus sebae",7
"Lutjanus vitta",7
"Myrichthys breviceps",7
"Myrichthys ocellatus",7
"Myripristis berndti",7
"Myripristis jacobus",7
"Myripristis violacea",7
"Neoniphon argenteus",7
"Neoniphon marianus",7
"Neoniphon sammara",7
"Neopomacentrus nemurus",7
"Ocyurus chrysurus",7
"Ogcocephalus nasutus",7
"Onigocia macrolepis",7
"Opistognathus whitehursti",7
"Ostorhinchus cookii",7
"Ostorhinchus nigrofasciatus",7
"Paracirrhites arcatus",7
"Parapercis millepunctata",7
"Parapercis hexophtalma",7
"Parascorpaena aurita",7
"Parascorpaena picta",7
"Pareques acuminatus",7
"Parupeneus ciliatus",7
"Parupeneus multifasciatus",7
"Parupeneus porphyreus",7
"Parupeneus spilurus",7
"Parupeneus trifasciatus",7
"Plectrypops lima",7
"Plesiops coeruleolineatus",7
"Plesiops nigricans",7
"Polydactylus sexfilis",7
"Priacanthus hamrur",7
"Pristiapogon exostigma",7
"Pristiapogon kallopterus",7
"Pseudogramma polyacantha",7
"Pseudupeneus maculatus",7
"Pterois radiata",7
"Pterois sphex",7
"Pterois volitans",7
"Sargocentron coruscum",7
"Sargocentron microstoma",7
"Sargocentron rubrum",7
"Sargocentron spiniferum",7
"Sargocentron tiere",7
"Sargocentron xantherythrum",7
"Scorpaena brasiliensis",7
"Scorpaena grandicornis",7
"Scorpaena inermis",7
"Scorpaenodes caribbaeus",7
"Scorpaenodes guamensis",7
"Scorpaenodes kelloggi",7
"Sebastapistes coniorta",7
"Sebastapistes cyanostigma",7
"Sebastapistes nuchalis",7
"Sebastapistes strongia",7
"Serranus tigrinus",7
"Sillago ciliata",7
"Syngnathoides biaculeatus",7
"Thalassoma quinquevittatum",7
"Upeneus tragula",7
"Uropterygius xanthopterus",7
"Abudefduf taurus",2
"Acanthurus bahianus",2
"Acanthurus blochii",2
"Acanthurus chirurgus",2
"Acanthurus coeruleus",2
"Acanthurus dussumieri",2
"Acanthurus gahhm",2
"Acanthurus lineatus",2
"Acanthurus nigrofuscus",2
"Acanthurus nigroris",2
"Acanthurus olivaceus",2
"Acanthurus triostegus",2
"Aluterus schoepfii",2
"Amphiprion akallopisos",2
"Antennablennius velifer",2
"Archosargus rhomboidalis",2
"Asterropteryx semipunctata",2
"Atrosalarias holomelas",2
"Blenniella chrysospilos",2
"Blenniella paula",2
"Blenniella periophthalmus",2
"Calamus pennatula",2
"Calotomus spinidens",2
"Canthigaster margaritata",2
"Canthigaster solandri",2
"Centropyge argi",2
"Centropyge potteri",2
"Chlorurus sordidus",2
"Chrysiptera annulata",2
"Chrysiptera biocellata",2
"Chrysiptera brownriggii",2
"Chrysiptera glauca",2
"Cirripectes variolosus",2
"Coryphopterus glaucofraenum",2
"Crenimugil crenilabis",2
"Ctenochaetus striatus",2
"Entomacrodus nigricans",2
"Exallias brevis",2
"Gnatholepis thompsoni",2
"Hemiramphus brasiliensis",2
"Hemiramphus far",2
"Istiblennius edentulus",2
"Kyphosus incisor",2
"Kyphosus sectatrix",2
"Leptoscarus vaigiensis",2
"Macropharyngodon geoffroy",2
"Macropharyngodon meleagris",2
"Meiacanthus kamoharai",2
"Melichthys niger",2
"Microspathodon chrysurus",2
"Monacanthus ciliatus",2
"Moringua macrochir",2
"Mugil curema",2
"Naso lituratus",2
"Naso unicornis",2
"Neomyxus leuciscus",2
"Ophioblennius atlanticus",2
"Ostracion cubicus",2
"Parablennius marmoreus",2
"Petroscirtes mitratus",2
"Plectroglyphidodon dickii",2
"Plectroglyphidodon lacrymatus",2
"Pomacentrus adelus",2
"Pomacentrus chrysurus",2
"Pomacentrus littoralis",2
"Pomacentrus tripunctatus",2
"Pomacentrus vaiuli",2
"Salarias fasciatus",2
"Salarias luctuosus",2
"Salarias sinuosus",2
"Scartella cristata",2
"Scarus coelestinus",2
"Scarus ghobban",2
"Scarus guacamaia",2
"Scarus iseri",2
"Scarus oviceps",2
"Scarus prasiognathos",2
"Scarus psittacus",2
"Scarus taeniopterus",2
"Scarus vetula",2
"Scatophagus argus",2
"Siganus argenteus",2
"Siganus canaliculatus",2
"Siganus fuscescens",2
"Siganus lineatus",2
"Siganus punctatus",2
"Siganus spinus",2
"Siganus virgatus",2
"Sparisoma aurofrenatum",2
"Sparisoma chrysopterum",2
"Sparisoma radians",2
"Sparisoma rubripinne",2
"Sparisoma viride",2
"Stegastes albifasciatus",2
"Stegastes fasciolatus",2
"Stegastes fuscus",2
"Stegastes nigricans",2
"Stegastes planifrons",2
"Stegastes variabilis",2
"Zebrasoma flavescens",2
"Zebrasoma scopas",2
"Zebrasoma velifer",2
"Abudefduf saxatilis",3
"Aluterus scriptus",3
"Amanses scopas",3
"Arothron meleagris",3
"Arothron nigropunctatus",3
"Cantherhines dumerilii",3
"Chaetodon auripes",3
"Chaetodon bennetti",3
"Chaetodon blackburnii",3
"Chaetodon capistratus",3
"Chaetodon citrinellus",3
"Chaetodon ephippium",3
"Chaetodon guttatissimus",3
"Chaetodon lineolatus",3
"Chaetodon melannotus",3
"Chaetodon multicinctus",3
"Chaetodon ornatissimus",3
"Chaetodon plebeius",3
"Chaetodon quadrimaculatus",3
"Chaetodon speculum",3
"Chaetodon trifascialis",3
"Chaetodon trifasciatus",3
"Chaetodon unimaculatus",3
"Chaetodon vagabundus",3
"Cheiloprion labiatus",3
"Gobiodon citrinus",3
"Heniochus chrysostomus",3
"Holacanthus tricolor",3
"Labrichthys unilineatus",3
"Oxymonacanthus longirostris",3
"Plectroglyphidodon johnstonianus",3
"Sufflamen fraenatum",3
"Abudefduf abdominalis",8
"Abudefduf sexfasciatus",8
"Abudefduf sparoides",8
"Abudefduf vaigiensis",8
"Acanthurus thompsoni",8
"Amblycirrhitus pinos",8
"Amblyglyphidodon curacao",8
"Amphiprion clarkii",8
"Amphiprion frenatus",8
"Amphiprion latifasciatus",8
"Amphiprion ocellaris",8
"Apogonichthyoides timorensis",8
"Aspidontus taeniatus",8
"Atherinomorus stipes",8
"Callogobius hasseltii",8
"Canthidermis sufflamen",8
"Chaetodon kleinii",8
"Chaetodon miliaris",8
"Chromis atripectoralis",8
"Chromis ternatensis",8
"Chromis cyanea",8
"Chromis dimidiata",8
"Chromis leucura",8
"Chromis multilineata",8
"Chromis vanderbilti",8
"Chromis verater",8
"Chromis weberi",8
"Chrysiptera cyanea",8
"Chrysiptera rex",8
"Clepticus parrae",8
"Corythoichthys flavofasciatus",8
"Dascyllus albisella",8
"Dascyllus aruanus",8
"Dascyllus trimaculatus",8
"Decapterus punctatus",8
"Gnatholepis anjerensis",8
"Gobiodon rivulatus",8
"Haemulon vittatum",8
"Harengula clupeola",8
"Hemigymnus fasciatus",8
"Hemiramphus balao",8
"Hemitaurichthys thompsoni",8
"Hemitaurichthys zoster",8
"Herklotsichthys quadrimaculatus",8
"Heteroconger longissimus",8
"Hypoatherina harringtonensis",8
"Hypoatherina ovalaua",8
"Hypoatherina temminckii",8
"Hyporhamphus affinis",8
"Istigobius ornatus",8
"Jenkinsia lamprotaenia",8
"Labroides dimidiatus",8
"Monacanthus tuckeri",8
"Myripristis amaena",8
"Myripristis kuntee",8
"Naso hexacanthus",8
"Nectamia savayensis",8
"Neoglyphidodon melas",8
"Opisthonema oglinum",8
"Opistognathus aurifrons",8
"Paranthias furcifer",8
"Pempheris schomburgkii",8
"Phaeoptyx conklini",8
"Plectroglyphidodon leucozonus",8
"Pomacentrus amboinensis",8
"Pomacentrus caeruleus",8
"Pomacentrus moluccensis",8
"Pomacentrus pavo",8
"Pomacentrus sulfureus",8
"Pomachromis richardsoni",8
"Pristiapogon taeniopterus",8
"Pseudocheilinus hexataenia",8
"Pseudocheilinus octotaenia",8
"Ptereleotris evides",8
"Ptereleotris microlepis",8
"Remora remora",8
"Spratelloides delicatulus",8
"Thalassoma lunare",8
"Valenciennea sexguttata",8
"Valenciennea strigata",8
"Xanthichthys ringens",8
"Xyrichtys splendens",8
"Aetobatus narinari",6
"Anisotremus surinamensis",6
"Anisotremus virginicus",6
"Arothron hispidus",6
"Arothron manilensis",6
"Arothron stellatus",6
"Balistapus undulatus",6
"Balistes vetula",6
"Bodianus perditio",6
"Bodianus rufus",6
"Calamus bajonado",6
"Calamus calamus",6
"Cheilinus trilobatus",6
"Cheilinus undulatus",6
"Chilomycterus antennatus",6
"Choerodon graphicus",6
"Coris aygula",6
"Coris gaimard",6
"Coris variegata",6
"Diodon holocanthus",6
"Diodon hystrix",6
"Diodon liturosus",6
"Diplodus caudimacula",6
"Gerres cinereus",6
"Gnathodentex aureolineatus",6
"Haemulon carbonarium",6
"Haemulon macrostomum",6
"Haemulon plumierii",6
"Haemulon sciurus",6
"Halichoeres bivittatus",6
"Halichoeres garnoti",6
"Halichoeres hortulanus",6
"Halichoeres melanochir",6
"Halichoeres nebulosus",6
"Halichoeres poeyi",6
"Halichoeres radiatus",6
"Labrisomus nuchipinnis",6
"Lachnolaimus maximus",6
"Lepadichthys coccinotaenia",6
"Lutjanus rivulatus",6
"Malacanthus plumieri",6
"Monotaxis grandoculis",6
"Mulloidichthys flavolineatus",6
"Mulloidichthys martinicus",6
"Parupeneus forsskali",6
"Plectorhinchus chaetodonoides",6
"Plectorhinchus picus",6
"Pseudobalistes fuscus",6
"Pteragogus flagellifer",6
"Sargocentron punctatissimum",6
"Sargocentron vexillarium",6
"Sphoeroides spengleri",6
"Sufflamen bursa",6
"Thalassoma bifasciatum",6
"Thalassoma lutescens",6
"Trachinotus falcatus",6
"Xyrichtys novacula",6
"Acanthostracion polygonius",1
"Acanthostracion quadricornis",1
"Apolemichthys arcuatus",1
"Cantherhines macrocerus",1
"Cantherhines pullus",1
"Cantherhines sandwichiensis",1
"Canthigaster amboinensis",1
"Canthigaster jactator",1
"Canthigaster rostrata",1
"Canthigaster valentini",1
"Centropyge bispinosa",1
"Chaetodipterus faber",1
"Holacanthus ciliaris",1
"Lactophrys bicaudalis",1
"Ostracion meleagris",1
"Pervagor melanocephalus",1
"Pervagor spilosoma",1
"Pomacanthus arcuatus",1
"Pomacanthus chrysurus",1
"Pomacanthus paru",1
"Pomacanthus semicirculatus",1
"Zanclus cornutus",1
"Abudefduf sordidus",5
"Amblygobius albimaculatus",5
"Amblygobius sphynx",5
"Anampses cuvier",5
"Taeniamia fucata",5
"Arothron immaculatus",5
"Atherinomorus insularum",5
"Bathygobius fuscus",5
"Chaetodon auriga",5
"Chaetodon fremblii",5
"Chaetodon lunula",5
"Chaetodon sedentarius",5
"Cirrhitichthys aprinus",5
"Coris caudimacula",5
"Corythoichthys haematopterus",5
"Corythoichthys intestinalis",5
"Hypanus americanus",5
"Dinematichthys iluocoeteoides",5
"Diplogrammus infulatus",5
"Enneapterygius hemimelas",5
"Eucinostomus argenteus",5
"Eviota prasina",5
"Foa brachygramma",5
"Forcipiger flavissimus",5
"Fusigobius neophytus",5
"Gnatholepis cauerensis",5
"Gobiodon erythrospilus",5
"Haemulon album",5
"Haemulon aurolineatum",5
"Haemulon flavolineatum",5
"Halichoeres maculipinna",5
"Halichoeres marginatus",5
"Halichoeres melanurus",5
"Halichoeres ornatissimus",5
"Halichoeres scapularis",5
"Halichoeres timorensis",5
"Hemigymnus melapterus",5
"Hippichthys cyanospilos",5
"Istigobius spence",5
"Lactophrys triqueter",5
"Leiuranus semicinctus",5
"Lethrinus crocineus",5
"Lethrinus obsoletus",5
"Lutjanus gibbus",5
"Moringua microchir",5
"Myripristis murdjan",5
"Nectamia fusca",5
"Neosynchiropus ocellatus",5
"Novaculoides macrolepidotus",5
"Opistognathus maxillosus",5
"Oplopomus oplopomus",5
"Ostorhinchus angustatus",5
"Ostorhinchus aroubiensis",5
"Ostorhinchus cyanosoma",5
"Ostorhinchus endekataenia",5
"Oxycheilinus bimaculatus",5
"Paragobiodon echinocephalus",5
"Parapercis cylindrica",5
"Parupeneus barberinus",5
"Parupeneus macronemus",5
"Pempheris oualensis",5
"Plectorhinchus diagrammus",5
"Plectorhinchus gaterinus",5
"Plectroglyphidodon imparipennis",5
"Plectroglyphidodon sindonis",5
"Pristiapogon fraenatus",5
"Prognathodes aculeatus",5
"Pseudochromis natalensis",5
"Pseudochromis tapeinosoma",5
"Rhinecanthus aculeatus",5
"Rhinecanthus rectangulus",5
"Sargocentron diadema",5
"Scolopsis lineata",5
"Stegastes leucostictus",5
"Stethojulis balteata",5
"Stethojulis bandanensis",5
"Stethojulis strigiventer",5
"Stethojulis trilineata",5
"Sufflamen chrysopterum",5
"Thalassoma duperrey",5
"Thalassoma hardwicke",5
"Thalassoma hebraicum",5
"Thalassoma trilobatum",5
"Upeneus japonicus",5
"Valenciennea longipinnis",5
"Vanderhorstia ornatissima",5
